name,intake,from_new,mean_travel,entry_year,pan,fill,city_mean_travel,config
Varndean School,270,8.718380582483551,33.18412628618963,2028,270,1,31.336667820294444,"A. Today: Ovingdean, PAN 210, current catchments"
Blatchington Mill School,330,7.751529667793424,30.818873565037553,2030,330,1,31.493273177641292,"A. Today: Ovingdean, PAN 210, current catchments"
Brighton Aldridge Community Academy,120.37310903675436,4.690200354653381,34.775218501695704,2030,180,0.6687394946486354,31.493273177641292,"A. Today: Ovingdean, PAN 210, current catchments"
Cardinal Newman Catholic School,123.74047951237964,6.319658781912764,32.51139950334884,2030,360,0.34372355420105455,31.493273177641292,"A. Today: Ovingdean, PAN 210, current catchments"
Dorothy Stringer School,330,10.867122820497839,34.5658833482851,2030,330,1,31.493273177641292,"A. Today: Ovingdean, PAN 210, current catchments"
Hove Park School,180,3.789451767814552,27.410979829747664,2030,180,1,31.493273177641292,"A. Today: Ovingdean, PAN 210, current catchments"
King's School,100.59082134013802,5.61851517000901,45.23803195850122,2030,165,0.609641341455382,31.493273177641292,"A. Today: Ovingdean, PAN 210, current catchments"
Longhill High School,133.2598836374654,6.817635337456616,28.5162723824335,2030,210,0.634570874464121,31.493273177641292,"A. Today: Ovingdean, PAN 210, current catchments"
Patcham High School,213.56631061165356,8.303361004741353,32.99605001981229,2030,225,0.9491836027184603,31.493273177641292,"A. Today: Ovingdean, PAN 210, current catchments"
Peacehaven Community School,147.34235532718944,124.94107876560483,22.503522973043104,2030,180,0.818568640706608,31.493273177641292,"A. Today: Ovingdean, PAN 210, current catchments"
Portslade Aldridge Community Academy,220,5.268397370009877,26.37857600064139,2030,220,1,31.493273177641292,"A. Today: Ovingdean, PAN 210, current catchments"
Varndean School,270,9.48010565202204,33.58713230015265,2030,270,1,31.493273177641292,"A. Today: Ovingdean, PAN 210, current catchments"
Blatchington Mill School,330.00000000000006,7.7891882376539625,31.086269466917326,2033,330,1.0000000000000002,31.49818955936947,"A. Today: Ovingdean, PAN 210, current catchments"
Brighton Aldridge Community Academy,113.08421665329071,4.260991615998764,34.492214942744624,2033,180,0.6282456480738373,31.49818955936947,"A. Today: Ovingdean, PAN 210, current catchments"
Cardinal Newman Catholic School,113.88435155677034,5.741833201481201,32.5788494321495,2033,360,0.31634542099102875,31.49818955936947,"A. Today: Ovingdean, PAN 210, current catchments"
Dorothy Stringer School,315.247702125546,10.155336952342214,34.485687992514926,2033,330,0.9552960670471091,31.49818955936947,"A. Today: Ovingdean, PAN 210, current catchments"
Hove Park School,180.00000000000003,3.8138897818817354,27.67875370645579,2033,180,1.0000000000000002,31.49818955936947,"A. Today: Ovingdean, PAN 210, current catchments"
King's School,91.96885960564684,5.106164794200236,45.53660139755312,2033,165,0.5573870279130112,31.49818955936947,"A. Today: Ovingdean, PAN 210, current catchments"
Longhill High School,125.67865198546593,6.183645918512664,28.297607855663113,2033,210,0.5984697713593616,31.49818955936947,"A. Today: Ovingdean, PAN 210, current catchments"
Patcham High School,201.35286962372578,7.544698719019998,32.59144263890784,2033,225,0.8949016427721146,31.49818955936947,"A. Today: Ovingdean, PAN 210, current catchments"
Peacehaven Community School,135.05453036666842,114.2159883524185,22.539428826495357,2033,180,0.7503029464814912,31.49818955936947,"A. Today: Ovingdean, PAN 210, current catchments"
Portslade Aldridge Community Academy,218.63664030187766,5.300655574370478,26.779449981780513,2033,220,0.9938029104630803,31.49818955936947,"A. Today: Ovingdean, PAN 210, current catchments"
Varndean School,270.00000000000006,9.281229323432393,33.544899992388224,2033,270,1.0000000000000002,31.49818955936947,"A. Today: Ovingdean, PAN 210, current catchments"
Blatchington Mill School,314.35835323046035,6.979758806601113,31.095893672393725,2035,330,0.9526010703953344,31.471455772845005,"A. Today: Ovingdean, PAN 210, current catchments"
Brighton Aldridge Community Academy,106.44691872061179,3.7340064797104064,34.321662995213416,2035,180,0.5913717706700655,31.471455772845005,"A. Today: Ovingdean, PAN 210, current catchments"
Cardinal Newman Catholic School,106.37212840157078,5.03190782341236,32.52208662632454,2035,360,0.2954781344488077,31.471455772845005,"A. Today: Ovingdean, PAN 210, current catchments"
Dorothy Stringer School,294.7041479220716,8.898923359612473,34.42014692783895,2035,330,0.8930428724911261,31.471455772845005,"A. Today: Ovingdean, PAN 210, current catchments"
Hove Park School,180,3.601001396297729,27.769390636059295,2035,180,1,31.471455772845005,"A. Today: Ovingdean, PAN 210, current catchments"
