id,time_varndean,time_ds,time_longhill,time_blatchington,time_hove_park,time_patcham,time_cardinal_n,time_baca,time_paca,time_kings,time_peacehaven,time_seahaven,time_priory_lewes,time_seaford_head,time_elm_grove,first_closest_travel,second_closest_travel,third_closest_travel,first_closest_time,second_closest_time,third_closest_time,max_travel,min_travel,avg_travel,long,lat,lsoa21,oslaua,osward
BN2 8FY,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.040489,50.806902,E01016958,E06000043,E05015412
BN2 8FZ,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.039365,50.806632,E01016958,E06000043,E05015412
BN2 8GA,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.040253,50.809488,E01016958,E06000043,E05015412
BN2 8GE,54,62,21,67,66,64,49,59,71,80,37,45,82,84,50,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.036795,50.802595,E01016961,E06000043,E05015412
BN2 8GG,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.041606,50.807011,E01016958,E06000043,E05015412
BN2 8GH,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.044743,50.810422,E01016959,E06000043,E05015412
BN2 8GZ,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.034902,50.813212,E01016956,E06000043,E05015412
BN2 8HA,62,71,23,73,71,75,68,73,76,86,49,57,92,84,50,longhill,peacehaven,seahaven,23,49,57,92,23,68.6,-0.036884,50.806585,E01016956,E06000043,E05015412
BN2 8HB,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.038083,50.808777,E01016958,E06000043,E05015412
BN2 8HD,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.036625,50.809014,E01016956,E06000043,E05015412
BN2 8HE,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.035495,50.809561,E01016956,E06000043,E05015412
BN2 8HF,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.034526,50.81066,E01016956,E06000043,E05015412
BN2 8HG,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.035544,50.812467,E01016958,E06000043,E05015412
BN2 8HH,76,79,23,83,79,78,68,77,85,91,49,57,102,84,50,longhill,peacehaven,seahaven,23,49,57,102,23,73.6,-0.035621,50.810966,E01016956,E06000043,E05015412
